Cause_of_death,Age,Subjects_gender,Region,Subjects_race,Cluster
Vehicle,34.0,Male,Southeast,European-American/White,2
Gunshot,19.0,Male,Southeast,European-American/White,0
Gunshot,34.0,Male,Southwest,Native American/Alaskan,0
Gunshot,16.0,Male,Southeast,Hispanic/Latino,1
Others,50.0,Female,Midwest,European-American/White,2
Gunshot,36.0,Female,Southwest,Hispanic/Latino,0
Gunshot,26.0,Male,West,Asian/Pacific Islander,0
Gunshot,48.0,Male,West,European-American/White,0
Gunshot,42.0,Male,Midwest,European-American/White,0
Vehicle,16.0,Male,Southeast,European-American/White,2
Gunshot,20.0,Male,Southeast,African-American/Black,1
Vehicle,85.0,Male,Southeast,African-American/Black,1
Gunshot,37.0,Male,Southwest,European-American/White,0
Gunshot,27.0,Male,West,European-American/White,0
Gunshot,68.0,Male,Southeast,African-American/Black,1
Others,39.0,Male,Southeast,European-American/White,0
Gunshot,43.0,Male,West,Hispanic/Latino,0
Others,22.0,Male,Midwest,European-American/White,2
Others,31.0,Male,West,European-American/White,0
Vehicle,28.0,Male,West,African-American/Black,0
Gunshot,31.0,Male,Southeast,African-American/Black,1
Vehicle,40.0,Male,Southeast,African-American/Black,1
Gunshot,38.0,Male,West,Hispanic/Latino,0
Others,15.0,Female,Southwest,African-American/Black,1
Gunshot,25.0,Male,West,European-American/White,0
Gunshot,36.0,Male,Midwest,African-American/Black,1
Gunshot,49.0,Female,Midwest,European-American/White,0
Gunshot,36.0,Male,Midwest,African-American/Black,1
Gunshot,26.0,Male,Southeast,Hispanic/Latino,1
Vehicle,45.0,Male,Northeast,European-American/White,2
Vehicle,33.0,Male,Midwest,European-American/White,2
Vehicle,20.0,Male,Southeast,European-American/White,2
Vehicle,20.0,Male,Southeast,European-American/White,2
Vehicle,20.0,Male,Southeast,European-American/White,2
Gunshot,47.0,Male,West,African-American/Black,0
Gunshot,27.0,Male,Southwest,European-American/White,0
Gunshot,27.0,Male,Midwest,European-American/White,0
Gunshot,17.0,Male,Midwest,African-American/Black,1
Others,31.0,Transgender,Southwest,Hispanic/Latino,0
Vehicle,18.0,Female,Southeast,European-American/White,2
Vehicle,49.0,Male,Southeast,European-American/White,2
Others,44.0,Male,Midwest,African-American/Black,1
Vehicle,25.0,Female,West,African-American/Black,0
Gunshot,23.0,Male,Midwest,European-American/White,0
Gunshot,25.0,Male,West,Asian/Pacific Islander,0
Vehicle,17.0,Male,Northeast,European-American/White,2
Gunshot,48.0,Male,West,European-American/White,0
